,offences,rehab,clinic,unemployment_rate,forign_count,region,offences_lower,offences_upper
2024-12-31,5001.564620836457,1122.91845719141,2288.976997433342,11.41981652899552,306685.11215426435,Uusimaa,4196.662827408293,5960.806322852248
2025-12-31,4552.322788821466,1681.279877033618,1931.5700350755976,10.73357129844782,339224.89799705514,Uusimaa,3223.19486380376,6429.364570068623
2026-12-31,6432.443311971146,986.4621594833643,1231.495084392342,11.544481626501485,374199.35054320144,Uusimaa,3726.4440140714955,11102.907313455999
2024-12-31,1325.9724266039789,111.3771220975223,63.918995872351296,7.322952027749015,59420.79078149609,Varsinais-Suomi,1137.8459508097947,1545.1755997070256
2025-12-31,1103.3840297479348,4.492923287872239,0.6063177240768077,60.12854260216104,69079.84942189211,Varsinais-Suomi,708.9692857338564,1716.9110556896667
2026-12-31,1915.5984705240348,0.0,0.0,20918.819427447983,36444.45900795917,Varsinais-Suomi,1179.6662736185078,3110.2514851101673
2024-12-31,1046.7676849262116,87.69053651518432,0.0,11.286324766898806,12738.62587164284,Satakunta,845.0707120700002,1296.5477178375659
2025-12-31,1110.7997394302238,90.04889971831196,1.622426619005651,7.515677264933369,12734.124892740507,Satakunta,703.4671435696638,1753.6576471027101
2026-12-31,729.4789329303289,74.86780170300362,2.501271217191354,5.598352273391958,12884.54962196994,Satakunta,450.11263732812216,1181.8519693340181
2024-12-31,2571.271982742883,16.67873063513972,0.0,18.885089213639937,10854.857584080677,Kanta-Häme,2142.6244202626085,3085.633596193793
2025-12-31,31248.92278301825,0.5750216637144308,0.0,18.022788432821315,10223.384194800656,Kanta-Häme,16709.952626914117,58437.18097908979
2026-12-31,661496.4062954742,0.4557634417245012,0.0,7.538696409147166,7639.118912698141,Kanta-Häme,189477.8853629055,2309379.370786724
2024-12-31,4777.790201727837,80.18079736946906,0.0,12.35417279033998,49064.93722260469,Pirkanmaa,4042.535995397265,5646.738963650889
2025-12-31,60853.731758242764,21.8719583195206,0.0,53.73852750610011,64362.00322430109,Pirkanmaa,48437.22580860627,76453.04668619571
2026-12-31,1081490.6835344937,0.5891644457818369,0.0,298.95577598271024,92704.63692355512,Pirkanmaa,642550.7486153898,1820279.2561422456
2024-12-31,499.8281997550185,1.348230367164345,0.0,0.7022570562445766,12420.880327651805,Päijät-Häme,401.2010173200605,622.6406047432994
2025-12-31,1351.2094494176401,260207.92518634032,0.0,144.29759994884415,20397.637713392105,Päijät-Häme,964.5357300394151,1892.7366460997937
2026-12-31,205.01309802078796,0.0,0.0,0.0,5636.6779521531735,Päijät-Häme,126.74268844494924,331.2412975080991
2024-12-31,572.0275412152453,86.17855150624484,59.48551804980452,23.50163741341381,11431.351926532478,Kymenlaakso,370.7209453233698,882.3523295426363
2025-12-31,351.5008941014322,75.42885296006918,24948.797685414866,19.672984704293025,10651.300071464568,Kymenlaakso,208.69981197919986,591.5464556669901
2026-12-31,289.42413107702924,230.82893357550194,59262.17612677457,6.486432658365514,10863.997334275482,Kymenlaakso,162.03371260926883,516.3541997046584
2024-12-31,282.2247945645244,3.306757704392194,0.0,3.7842723126596804,11107.406309115666,Etelä-Karjala,158.96095727253623,500.4741448405262
2025-12-31,179.0861042787167,232.94807328713082,0.0,7.5547711465537715,10666.639668825177,Etelä-Karjala,90.03638566042409,355.24222907152904
2026-12-31,54.18667316174253,681.4859725377397,0.6998849655949979,17.540801782266847,11324.22866677236,Etelä-Karjala,25.678418266539047,113.15852560047932
2024-12-31,200.8778621406668,502.12626734325096,9254.068756311144,29.75778836341093,6748.484396273876,Etelä-Savo,195.68025714706292,206.21282254584804
2025-12-31,259.4370137120646,41.87212906799986,34628.98775943868,13.397761437912454,6449.339945306912,Etelä-Savo,187.33345870582394,359.14544933943097
2026-12-31,450.72386905121385,1959.9700584054672,507.8699207102912,13.87324450024277,5386.248371551901,Etelä-Savo,297.49845559705113,682.6030473338711
2024-12-31,397.2241256181329,101.90181892122732,0.0,6.879731533475777,16310.680585072398,Pohjois-Savo,350.37402705493207,450.32093442846974
2025-12-31,156.34712567986858,59.648389164897566,0.0,5.12031265606344,31318.657105619335,Pohjois-Savo,123.30261181948555,198.17616852388056
2026-12-31,37.353135060239026,15.609332801919638,0.0,4.223899924605611,113761.99364905727,Pohjois-Savo,25.188781400789225,55.16767525138099
2024-12-31,869.5280429785166,67.76927927312688,0.3340524572101331,8.446201162030249,11527.054492523184,Pohjois-Karjala,660.9015792252225,1143.9120192447022
2025-12-31,3289.7794278916185,16.571193176327377,2.4378509098866674,3.178642785925943,14539.465939528385,Pohjois-Karjala,2255.703084384451,4797.694749862748
2026-12-31,6010.142703734857,6.139712796403117,0.25393776182894645,0.9265539508245233,20245.039219077385,Pohjois-Karjala,2717.6145905164562,13290.268549324019
2024-12-31,4082.6249964924637,439.6158371581089,1.7841654850880138e+40,0.5637662950049935,13485.83104341987,Keski-Suomi,3484.218223476,4783.777320298237
2025-12-31,98.3229640895753,0.0,40742042971.17433,0.0,45945.432321581706,Keski-Suomi,54.12715986211404,177.9508333136311
2026-12-31,29754.610822929295,0.0,5.321931319471758e+294,0.0,36325.5246713475,Keski-Suomi,8397.987221593614,105416.04042236076
2024-12-31,7437.187399305078,22.07634488899972,3.289532198675523,0.0,55109.42705039722,Etelä-Pohjanmaa,5231.532281536727,10572.58632691172
2025-12-31,3468510231146.77,0.0,0.0,0.0,459165309717.26135,Etelä-Pohjanmaa,1794735122559.273,6703252793321.84
