,offences,rehab,clinic,unemployment_rate,forign_count,region,offences_lower,offences_upper
2026-12-31,4.212821040635816e+83,0.0,0.0,0.0,5.994357975522289e+68,Etelä-Pohjanmaa,7.369323598390877e+82,2.4083433009102308e+84
2024-12-31,17503627.428006425,296030.48967848666,6598720.5413968535,1054.404058212383,16406.645515720214,Pohjanmaa,16722737.639242368,18320981.869800694
2025-12-31,5271462873.809421,233806.84729883488,8.832749573139526e+50,26.727230319286015,5470.296407882638,Pohjanmaa,2619003895.1994653,10610263267.72548
2026-12-31,67.71316645236998,0.0,4.416463026332646e+41,0.0,692.1920677725907,Pohjanmaa,-0.6404621959819178,13131.135734115025
2024-12-31,313.0973886551166,35.663579455026,0.0,7.919073650636912,4251.428923346052,Keski-Pohjanmaa,278.69253569790266,351.73436709274074
2025-12-31,295.75352041110136,37.38385969518963,0.0,10.779244840098611,5738.731281045693,Keski-Pohjanmaa,259.67180791810193,336.8295972230708
2026-12-31,355.5237494588331,46.65374100593603,0.0,13.697932813523133,7959.578993407672,Keski-Pohjanmaa,311.68758071425805,405.50538034748706
2024-12-31,696.2614461862855,36.03347426266781,0.0,7.6128148096377135,17598.361723847236,Pohjois-Pohjanmaa,625.8862819427954,774.5370285517822
2025-12-31,1540.085187301635,42.096469171102186,0.0,5.336578123470307,22486.281733077223,Pohjois-Pohjanmaa,966.4352590838461,2453.8862905509245
2026-12-31,381.13298948860734,74.59251319447279,0.0,3.8709551059804763,15276.114499891257,Pohjois-Pohjanmaa,217.23448983961646,668.1225651949715
2024-12-31,958.4594988446593,185.63845532862854,0.0,3.487156874262569,4681.6598892062,Kainuu,689.294400780565,1332.5795986209641
2025-12-31,701.9450136594116,41.230236569795274,0.0,1.3452250349116923,7020.048557849063,Kainuu,238.65830958579477,2060.817481240877
2026-12-31,3876.0497911148177,301.70669490178074,0.0,0.2896702604584324,11356.203616029286,Kainuu,813.7256667059978,18448.78708423056
2024-12-31,496.90447463282925,0.0,0.0,2.1684760030588723,13610.719552592864,Lappi,447.85734608440123,551.3110360608378
2025-12-31,290.53742242672104,0.0,0.0,0.0,31180.404541094904,Lappi,227.56935444331563,370.85242475843154
2026-12-31,63.40613936100697,0.0,0.0,0.0,280767.71285279316,Lappi,37.8723339060615,105.71216185305036
