,arrests,rehab,clinic,unemployment_rate,forign_count,region,arrests_lower,arrests_upper
2024-12-31,4951.486706178788,1127.0977210264357,2296.9842874326596,11.394462990443216,306870.9738340542,Uusimaa,4155.261947215203,5900.246092371862
2025-12-31,4472.468833569735,1686.1779841332404,1940.5013715811583,10.679353461984155,340025.2997889881,Uusimaa,3165.0598957452935,6319.765893220402
2026-12-31,6306.972660514497,983.3509085332316,1237.9889080464025,11.583941916480528,375826.28308860835,Uusimaa,3638.133439855962,10933.064315974427
2024-12-31,1327.1536479210986,111.27332349651505,63.65767782771848,7.347354901006035,59417.21797053788,Varsinais-Suomi,1138.739205180591,1546.7155690249488
2025-12-31,1103.4715821814518,4.512621656784496,0.5828361478055226,61.10956451822956,69038.94011249184,Varsinais-Suomi,709.1363307207104,1716.7792813506348
2026-12-31,1904.265248806988,0.0,0.0,21788.348386892285,36341.35532996475,Varsinais-Suomi,1173.0718311937103,3090.834393659542
2024-12-31,1053.0074649417015,87.71051125652932,0.0,11.283682319129841,12736.157033264872,Satakunta,851.0862227121368,1302.7785455758285
2025-12-31,1108.992083298617,90.02455344000742,1.6309555908475946,7.505249362688557,12723.502984178744,Satakunta,707.1770233329421,1738.7944078826063
2026-12-31,725.0295423164737,74.7843404152176,2.5388437331421563,5.586641295620163,12874.272227199348,Satakunta,450.0259728406594,1167.710735207462
2024-12-31,2578.876316876588,16.825263756336152,0.0,18.88152012540539,10845.331832270385,Kanta-Häme,2150.144496983143,3093.05612673395
2025-12-31,31008.117391811236,0.6195622590627328,0.0,17.807506126928814,10194.87010101874,Kanta-Häme,16501.87323491253,58265.54230033688
2026-12-31,634464.3501408794,0.5724121609391868,0.0,7.33618974825634,7602.745030370195,Kanta-Häme,181811.70829547106,2214070.196140994
2024-12-31,4795.434806407251,78.21477105642057,0.0,12.400764098537188,49025.414317513874,Pirkanmaa,4056.240113627046,5669.304494635519
2025-12-31,61426.1577721084,20.89291197299498,0.0,54.36766195840752,64367.31599466914,Pirkanmaa,49049.5091127628,76925.73899235221
2026-12-31,1145092.3081920673,0.469314994511018,0.0,309.91076215561355,92514.77451452892,Pirkanmaa,687944.8143602517,1906019.2956327659
2024-12-31,498.46946393628,1.3510722121541852,0.0,0.7086385494106542,12435.60357384701,Päijät-Häme,400.9437469879607,619.6583564845641
2025-12-31,1357.9750010790376,254247.73528059488,0.0,141.8811598350506,20356.612217187314,Päijät-Häme,969.4286109085357,1902.0900705088911
2026-12-31,201.72701515267414,0.0,0.0,0.0,5687.390484006914,Päijät-Häme,124.72972618290741,325.87769169976724
2024-12-31,569.7997396001279,86.02258553846397,59.653862289497546,23.509915582218323,11433.26402063794,Kymenlaakso,368.7043713901318,880.2780371042978
2025-12-31,352.2299845305196,75.67285973266746,25266.00725855764,19.706179042778867,10655.120683940622,Kymenlaakso,208.65601934688723,594.1244441257373
2026-12-31,290.7664922871029,230.885385751498,60884.130777520375,6.516538349597096,10860.76089540634,Kymenlaakso,162.6423221278559,519.2058056534332
2024-12-31,282.2247945645244,3.306757704392194,0.0,3.7842723126596804,11107.406309115666,Etelä-Karjala,158.96095727253623,500.4741448405262
2025-12-31,179.0861042787167,232.94807328713082,0.0,7.5547711465537715,10666.639668825177,Etelä-Karjala,90.03638566042409,355.24222907152904
2026-12-31,54.18667316174253,681.4859725377397,0.6998849655949979,17.540801782266847,11324.22866677236,Etelä-Karjala,25.678418266539047,113.15852560047932
2024-12-31,200.8778621406668,502.12626734325096,9254.068756311144,29.75778836341093,6748.484396273876,Etelä-Savo,195.68025714706292,206.21282254584804
2025-12-31,259.4370137120646,41.87212906799986,34628.98775943868,13.397761437912454,6449.339945306912,Etelä-Savo,187.33345870582394,359.14544933943097
2026-12-31,450.72386905121385,1959.9700584054672,507.8699207102912,13.87324450024277,5386.248371551901,Etelä-Savo,297.49845559705113,682.6030473338711
2024-12-31,397.46166665365865,101.88103555942297,0.0,6.892685536606908,16309.601802024938,Pohjois-Savo,350.65871246401395,450.49371866809366
2025-12-31,156.62854307187172,59.780763359719224,0.0,5.134577253597004,31290.392171492542,Pohjois-Savo,123.47319755510314,198.6153234511507
2026-12-31,37.68530975288593,15.707399379989385,0.0,4.251492823507839,113354.40771955591,Pohjois-Savo,25.384919752140018,55.72002055474697
2024-12-31,876.0722589466645,67.68987519546623,0.3355728101377864,8.435150390160299,11547.24576145921,Pohjois-Karjala,667.3416115117841,1149.9918493235125
2025-12-31,3310.864330866981,16.611456857754842,2.455380786823568,3.1498559097522776,14609.886756995986,Pohjois-Karjala,2264.171406759908,4841.214286007713
2026-12-31,6072.405567141276,6.1673547202017875,0.2719335350847139,0.9054819953892272,20454.977242591478,Pohjois-Karjala,2737.392206976875,13469.040956515953
2024-12-31,4450.940453625997,398.24836177161274,6.470507170132647e+39,0.5877154303795444,13367.848576761338,Keski-Suomi,3793.6234212682493,5222.120083944305
2025-12-31,99.82268374025708,0.0,864480402114.5997,0.0,45029.67025031618,Keski-Suomi,54.27610251083251,182.89888387293263
2026-12-31,48923.31867176259,0.0,2.9786028117882034e+285,0.0,34964.17764785311,Keski-Suomi,13374.256686253711,178955.48761314384
2024-12-31,6987.161446053813,22.46383904350312,6.480007030782427,0.0,54870.44746525375,Etelä-Pohjanmaa,4907.165363061479,9948.624102650909
2025-12-31,1733335435305.2312,0.0,0.0,0.0,412759774475.4332,Etelä-Pohjanmaa,890096912669.7761,3375420910372.9595
